id	target	node	file	line	lineText
showSwipePrompt	ios	seam	SingleThread/AppViewModel.swift	250	                    UserDefaults.standard.removeObject(forKey: "showSwipePrompt")
showUndoButton	ios	declaration	SingleThread/ContentView.swift	106	        @AppStorage("showUndoButton")
showUndoButton	ios	read	SingleThread/ContentView.swift	180	            if viewModel.store.undoStore.hasUndoableReminder, showUndoButton, viewModel.store.canMutate {
showUndoButton	ios	write	SingleThread/ContentView+Settings.swift	26	                .onChange(of: bag.showUndoButton) { _, new in showUndoButton = new }
notificationsEnabled	ios	declaration	SingleThread/ContentView.swift	109	        @AppStorage(AppViewModel.NotificationKeys.enabled)
notificationsEnabled	ios	dualRead	SingleThread/AppViewModel.swift	127	            guard UserDefaults.standard.bool(forKey: NotificationKeys.enabled) else { return }
notificationsEnabled	ios	write	SingleThread/AppViewModel.swift	187	                    UserDefaults.standard.set(false, forKey: NotificationKeys.enabled)
notificationsEnabled	ios	write	SingleThread/ContentView+Settings.swift	27	                .onChange(of: bag.notificationsEnabled) { _, new in notificationsEnabled = new }
notificationsEnabled	ios	read	SingleThread/ContentView.swift	232	        .onChange(of: notificationsEnabled) { _, newValue in
notificationIntervalHours	ios	declaration	SingleThread/ContentView.swift	112	        @AppStorage(AppViewModel.NotificationKeys.intervalHours)
notificationIntervalHours	ios	dualRead	SingleThread/AppViewModel.swift	131	            let intervalHours = UserDefaults.standard.integer(forKey: NotificationKeys.intervalHours)
notificationIntervalHours	ios	read	SingleThread/AppViewModel.swift	132	            let effectiveHours = intervalHours > 0 ? intervalHours : 48
notificationIntervalHours	ios	write	SingleThread/ContentView+Settings.swift	28	                .onChange(of: bag.notificationIntervalHours) { _, new in notificationIntervalHours = new }
showUndatedReminders	ios	declaration	SingleThread/ContentView.swift	115	    @AppStorage("showUndatedReminders", store: AppGroup.defaults)
showUndatedReminders	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowUndatedRemindersPreference.swift	19	        defaults.object(forKey: key) as? Bool ?? false
showUndatedReminders	widget	read	SingleThreadWidget/NextThingWidget.swift	71	            store.showsUndatedReminders = AppGroup.defaults.bool(forKey: "showUndatedReminders")
showUndatedReminders	widget	write	SingleThreadWidget/NextThingWidget.swift	71	            store.showsUndatedReminders = AppGroup.defaults.bool(forKey: "showUndatedReminders")
showUndatedReminders	watchOS	read	SingleThreadWatch/WatchAppViewModel.swift	34	        store.showsUndatedReminders = ShowUndatedRemindersPreference(defaults: .standard).load()
showUndatedReminders	core	write	SingleThreadCore/Sources/SingleThreadCore/ShowUndatedRemindersPreference.swift	23	        defaults.set(enabled, forKey: key)
showUndatedReminders	ios	write	SingleThread/ContentView+Settings.swift	37	            .onChange(of: bag.showUndatedReminders) { _, new in showUndatedReminders = new }
showUndatedReminders	ios	write	SingleThread/ContentViewModel.swift	96	        store.showsUndatedReminders = value
showUndatedReminders	ios	write	SingleThread/ContentViewModel.swift	90	        store.showsUndatedReminders = showUndatedReminders
showUndatedReminders	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	328	                showUndatedStore.save(received)
showUndatedReminders	watchOS	write	SingleThreadWatch/WatchAppViewModel.swift	167	                store?.showsUndatedReminders = value
sortOption	ios	declaration	SingleThread/ContentView.swift	118	    @AppStorage(SortOption.defaultsKey, store: AppGroup.defaults)
sortOption	core	declaration	SingleThreadCore/Sources/SingleThreadCore/SortOption.swift	18	    public static let defaultsKey = "sortOption"
sortOption	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/SortOption.swift	35	        guard let raw = defaults.string(forKey: key), let option = SortOption(rawValue: raw) else {
sortOption	ios	read	SingleThread/AppViewModel.swift	25	        store.sortOption = SortOptionStore().load()
sortOption	ios	write	SingleThread/AppViewModel.swift	25	        store.sortOption = SortOptionStore().load()
sortOption	watchOS	read	SingleThreadWatch/WatchAppViewModel.swift	31	        store.sortOption = SortOptionStore().load()
sortOption	watchOS	write	SingleThreadWatch/WatchAppViewModel.swift	31	        store.sortOption = SortOptionStore().load()
sortOption	widget	read	SingleThreadWidget/NextThingWidget.swift	72	            store.setSortOption(SortOptionStore().load())
sortOption	widget	write	SingleThreadWidget/NextThingWidget.swift	72	            store.setSortOption(SortOptionStore().load())
sortOption	widget	write	SingleThreadCore/Sources/SingleThreadCore/ReminderIntents.swift	20	        store.setSortOption(SortOptionStore().load())
sortOption	widget	write	SingleThreadCore/Sources/SingleThreadCore/ReminderIntents.swift	43	        store.setSortOption(SortOptionStore().load())
sortOption	core	write	SingleThreadCore/Sources/SingleThreadCore/SortOption.swift	42	        defaults.set(option.rawValue, forKey: key)
sortOption	ios	write	SingleThread/AppViewModel.swift	72	                }
sortOption	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	334	                sortStore.save(option)
sortOption	ios	read	SingleThread/ContentView.swift	225	        .onChange(of: sortOption) { _, newValue in
showDate	ios	declaration	SingleThread/ContentView.swift	121	    @AppStorage("showDate", store: AppGroup.defaults)
showDate	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowDatePreference.swift	20	        defaults.object(forKey: key) as? Bool ?? true
showDate	ios	read	SingleThread/AppViewModel.swift	380	        private func handlePreferencesChanged() {
showDate	ios	write	SingleThread/ContentView+Settings.swift	39	            .onChange(of: bag.showDate) { _, new in showDate = new }
showDate	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	339	                showDateStore.set(showDate)
showList	ios	declaration	SingleThread/ContentView.swift	124	    @AppStorage("showList", store: AppGroup.defaults)
showList	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowListPreference.swift	20	        defaults.object(forKey: key) as? Bool ?? false
showList	ios	read	SingleThread/AppViewModel.swift	383	            let currentShowAlarms = ShowAlarmsPreference().isEnabled
showList	ios	write	SingleThread/ContentView+Settings.swift	40	            .onChange(of: bag.showList) { _, new in showList = new }
showList	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	354	                showListStore.set(showList)
showRecurrence	ios	declaration	SingleThread/ContentView.swift	127	    @AppStorage("showRecurrence", store: AppGroup.defaults)
showRecurrence	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowRecurrencePreference.swift	20	        defaults.object(forKey: key) as? Bool ?? true
showRecurrence	ios	read	SingleThread/AppViewModel.swift	381	            let currentShowDate = ShowDatePreference().isEnabled
showRecurrence	ios	write	SingleThread/ContentView+Settings.swift	41	            .onChange(of: bag.showRecurrence) { _, new in showRecurrence = new }
showRecurrence	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	344	                showRecurrenceStore.set(showRecurrence)
showAlarms	ios	declaration	SingleThread/ContentView.swift	129	    @AppStorage("showAlarms", store: AppGroup.defaults)
showAlarms	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowAlarmsPreference.swift	20	        defaults.object(forKey: key) as? Bool ?? true
showAlarms	ios	read	SingleThread/AppViewModel.swift	382	            let currentShowRecurrence = ShowRecurrencePreference().isEnabled
showAlarms	ios	write	SingleThread/ContentView+Settings.swift	42	            .onChange(of: bag.showAlarms) { _, new in showAlarms = new }
showAlarms	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	349	                showAlarmsStore.set(showAlarms)
showCompletionGlow	ios	declaration	SingleThread/ContentView.swift	132	    @AppStorage("showCompletionGlow", store: AppGroup.defaults)
showCompletionGlow	core	dualRead	SingleThreadCore/Sources/SingleThreadCore/ShowCompletionGlowPreference.swift	20	        defaults.object(forKey: key) as? Bool ?? true
showCompletionGlow	ios	read	SingleThread/ContentViewModel.swift	118	        if await store.completeCurrentReminder(), showCompletionGlow.isEnabled {
showCompletionGlow	ios	write	SingleThread/ContentView+Settings.swift	43	            .onChange(of: bag.showCompletionGlow) { _, new in showCompletionGlow = new }
showCompletionGlow	core	write	SingleThreadCore/Sources/SingleThreadCore/SkippedReminderSyncService.swift	359	                showCompletionGlowStore.set(showCompletionGlow)
showCompletionGlow	ios	seam	SingleThread/AppViewModel.swift	247	                    UserDefaults.standard.removeObject(forKey: "showCompletionGlow")
showCompletionGlow	watchOS	seam	SingleThreadWatch/WatchAppViewModel.swift	49	            showCompletionGlowState.apply(false)
showCompletionGlow	watchOS	seam	SingleThreadWatch/WatchAppViewModel.swift	51	            showCompletionGlowState.apply(true)
skippedReminderIdentifiers	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderSkip.swift	124	    public init(defaults: UserDefaults = AppGroup.defaults, key: String = "skippedReminderIdentifiers") {
skippedReminderIdentifiers	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderSkip.swift	132	        defaults.stringArray(forKey: key) ?? []
skippedReminderIdentifiers	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	558	            skipped: skipStore.load())
skippedReminderIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderSkip.swift	136	        defaults.set(identifiers, forKey: key)
skippedReminderIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	484	        skipStore.save([])
skippedReminderIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	499	        skipStore.save(updated)
skippedReminderIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	561	        skipStore.save(resolved)
excludedListTitles	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ExcludedListStore.swift	7	    public init(defaults: UserDefaults = AppGroup.defaults, key: String = "excludedListTitles") {
excludedListTitles	core	read	SingleThreadCore/Sources/SingleThreadCore/ExcludedListStore.swift	15	        defaults.stringArray(forKey: key) ?? []
excludedListTitles	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	560	        excludedListTitles = Set(excludeStore.load())
excludedListTitles	core	write	SingleThreadCore/Sources/SingleThreadCore/ExcludedListStore.swift	19	        defaults.set(titles, forKey: key)
excludedListTitles	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	417	        excludeStore.save(array)
completionCount	core	declaration	SingleThreadCore/Sources/SingleThreadCore/CompletionCounterStore.swift	23	    public var count: Int {
completionCount	core	read	SingleThreadCore/Sources/SingleThreadCore/CompletionCounterStore.swift	24	        defaults.integer(forKey: key)
completionCount	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	145	        entitlementStore.isEntitled || completionCounter.count < 100
completionCount	core	write	SingleThreadCore/Sources/SingleThreadCore/CompletionCounterStore.swift	29	        defaults.set(count + 1, forKey: key)
completionCount	core	write	SingleThreadCore/Sources/SingleThreadCore/CompletionCounterStore.swift	36	        defaults.set(max(0, current - 1), forKey: key)
completionCount	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	213	                completionCounter.increment()
completionCount	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	244	                completionCounter.decrement()
completionCount	ios	seam	SingleThread/AppViewModel.swift	294	        AppGroup.defaults.set(seed.completionCount, forKey: "completionCount")
completionCount	watchOS	seam	SingleThreadWatch/WatchAppViewModel.swift	27	            AppGroup.defaults.set(100, forKey: "completionCount")
completionCount	watchOS	write	SingleThreadWatch/WatchAppViewModel.swift	186	            AppGroup.defaults.set(count, forKey: "completionCount")
completionCount	core	seam	SingleThreadCore/Sources/SingleThreadCore/CompletionCounterStore.swift	41	        defaults.set(0, forKey: key)
pendingCompletionIdentifiers	core	declaration	SingleThreadCore/Sources/SingleThreadCore/PendingCompletionStore.swift	21	        defaults: UserDefaults = AppGroup.defaults,
pendingCompletionIdentifiers	core	read	SingleThreadCore/Sources/SingleThreadCore/PendingCompletionStore.swift	70	        let stored = defaults.dictionary(forKey: key) ?? [:]
pendingCompletionIdentifiers	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	525	        pendingCompletions = pendingCompletionStore.load()
pendingCompletionIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/PendingCompletionStore.swift	83	        defaults.set(entries.mapValues { TimeInterval($0) }, forKey: key)
pendingCompletionIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	202	                pendingCompletionStore.record(identifier)
pendingCompletionIdentifiers	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	542	            pendingCompletionStore.save(pruned)
reminders	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	55	    public private(set) var reminders: [EKReminder] = []
reminders	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	397	        reminders = shown
reminders	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	192	            reminders.removeAll { $0.calendarItemIdentifier == identifier }
reminders	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	265	            reminders.removeAll { $0.calendarItemIdentifier == identifier }
reminders	ios	read	SingleThread/ContentView.swift	372	            } else if viewModel.store.reminders.isEmpty {
reminders	widget	read	SingleThreadWidget/NextThingWidget.swift	74	            if store.reminders.isEmpty {
skippedIDs	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	56	    public private(set) var skippedIDs: Set<String> = []
skippedIDs	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	483	        skippedIDs = []
skippedIDs	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	498	        skippedIDs = Set(updated)
skippedIDs	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	559	        skippedIDs = Set(resolved)
excludedListTitles	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	57	    public private(set) var excludedListTitles: Set<String> = []
excludedListTitles	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	415	        excludedListTitles = titles
hasHidden	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	62	    public private(set) var hasHidden = false
hasHidden	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	381	            hasHidden = Self.hasHiddenFor(shown: shown, allIncomplete: fetched)
hasHidden	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	390	            hasHidden = Self.hasHiddenFor(shown: shown, allIncomplete: allIncomplete)
hasHidden	ios	read	SingleThread/ContentView.swift	373	                let emptyCopy = ContentViewModel.emptyStateCopy(hasHidden: viewModel.store.hasHidden)
hasHidden	watchOS	read	SingleThreadWatch/WatchReminderView.swift	163	            Text(viewModel.store.hasHidden ? SharedStrings.nothingDueRightNow : SharedStrings.noRemindersYet)
hasHidden	widget	read	SingleThreadWidget/NextThingWidget.swift	77	                    state: .empty(store.hasHidden),
availableLists	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	64	    public private(set) var availableLists: [String] = []
authorizationStatus	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	65	    public private(set) var authorizationStatus: EKAuthorizationStatus = .notDetermined
authorizationStatus	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	169	        authorizationStatus = current
authorizationStatus	ios	read	SingleThread/ContentView.swift	340	        switch viewModel.store.authorizationStatus {
authorizationStatus	watchOS	read	SingleThreadWatch/WatchReminderView.swift	61	
loadsReminders	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	66	    public let loadsReminders: Bool
sortOption	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	70	    public var sortOption: SortOption = .priority
completionCounter	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	106	    public let completionCounter: CompletionCounterStore
entitlementStore	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	110	    public let entitlementStore: EntitlementStore
undoStore	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	115	        public let undoStore = UndoStore()
showsUndatedReminders	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	122	    public var showsUndatedReminders = false {
showsUndatedReminders	core	write	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	123	        didSet {
visibleReminders	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	129	    public var visibleReminders: [EKReminder] {
visibleReminders	ios	read	SingleThread/ContentView.swift	390	                        if let reminder = viewModel.store.visibleReminders.first {
visibleReminders	watchOS	read	SingleThreadWatch/WatchReminderView.swift	84	            } else if let reminder = viewModel.store.visibleReminders.first {
visibleReminders	widget	read	SingleThreadWidget/NextThingWidget.swift	83	            guard let current = store.visibleReminders.first else {
visibleReminders	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	227	        guard let reminder = visibleReminders.first else { return false }
allSkipped	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	138	    public var allSkipped: Bool {
allSkipped	ios	read	SingleThread/ContentView.swift	358	            if viewModel.store.allSkipped {
allSkipped	watchOS	read	SingleThreadWatch/WatchReminderView.swift	82	            } else if viewModel.store.allSkipped {
canMutate	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	144	    public var canMutate: Bool {
canMutate	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	189	        guard canMutate else { return false }
canMutate	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	238	            guard canMutate, let reminder = undoStore.lastCompletedReminder else {
canMutate	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	263	        guard canMutate else { return }
canMutate	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	315	        guard canMutate else { return }
canMutate	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	346	        guard canMutate else { return false }
canMutate	ios	read	SingleThread/ContentView.swift	628	                    } else if !viewModel.store.canMutate {
canMutate	watchOS	read	SingleThreadWatch/WatchReminderView.swift	219	            if !viewModel.store.canMutate, !viewModel.entitlementState.isEnabled {
hasResolvedEntitlement	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	151	    public var hasResolvedEntitlement: Bool {
hasResolvedEntitlement	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	152	        entitlementStore.hasResolvedEntitlement
hasResolvedEntitlement	ios	read	SingleThread/ContentView.swift	626	                    if !viewModel.store.hasResolvedEntitlement {
pendingCompletions	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	464	    private var pendingCompletions: Set<String> = []
skipGeneration	core	declaration	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	468	    private var skipGeneration: Int = 0
isEntitled	core	declaration	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	54	    public private(set) var isEntitled: Bool = false
isEntitled	core	read	SingleThreadCore/Sources/SingleThreadCore/ReminderStore.swift	145	        entitlementStore.isEntitled || completionCounter.count < 100
isEntitled	core	write	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	104	        isEntitled = entitled
isEntitled	core	seam	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	31	        isEntitled = entitled
hasResolvedEntitlement	core	declaration	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	60	    public private(set) var hasResolvedEntitlement: Bool = false
hasResolvedEntitlement	core	write	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	105	        hasResolvedEntitlement = true
hasResolvedEntitlement	core	seam	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	32	        hasResolvedEntitlement = true
unlockProductID	core	declaration	SingleThreadCore/Sources/SingleThreadCore/EntitlementStore.swift	50	    public static let unlockProductID = "app.alanvardy.SingleThread.unlimited"
entitlementState.isEnabled	core	declaration	SingleThreadCore/Sources/SingleThreadCore/EntitlementState.swift	17	    public private(set) var isEnabled: Bool = false
entitlementState.isEnabled	core	write	SingleThreadCore/Sources/SingleThreadCore/EntitlementState.swift	20	        isEnabled = value
entitlementState.isEnabled	watchOS	read	SingleThreadWatch/WatchReminderView.swift	219	            if !viewModel.store.canMutate, !viewModel.entitlementState.isEnabled {
isShowingCompletionTransition	watchOS	declaration	SingleThreadWatch/WatchReminderViewModel.swift	47	    var isShowingCompletionTransition = false
isShowingCompletionTransition	watchOS	write	SingleThreadWatch/WatchReminderViewModel.swift	70	            isShowingCompletionTransition = true
isShowingCompletionTransition	watchOS	write	SingleThreadWatch/WatchReminderViewModel.swift	82	                isShowingCompletionTransition = false
isShowingCompletionTransition	watchOS	read	SingleThreadWatch/WatchReminderView.swift	79	            if viewModel.isShowingCompletionTransition,
isShowingCompletionTransition	watchOS	read	SingleThreadWatch/WatchReminderViewModel.swift	66	        guard !isShowingCompletionTransition else { return }
transitionReminder	watchOS	declaration	SingleThreadWatch/WatchReminderViewModel.swift	51	    var transitionReminder: EKReminder?
transitionReminder	watchOS	write	SingleThreadWatch/WatchReminderViewModel.swift	67	        transitionReminder = store.visibleReminders.first
transitionReminder	watchOS	write	SingleThreadWatch/WatchReminderViewModel.swift	83	                transitionReminder = nil
transitionReminder	watchOS	write	SingleThreadWatch/WatchReminderViewModel.swift	86	            transitionReminder = nil
transitionReminder	watchOS	read	SingleThreadWatch/WatchReminderView.swift	80	               let reminder = viewModel.transitionReminder {
completionTransitionBuffer	watchOS	declaration	SingleThreadWatch/WatchReminderViewModel.swift	55	    var completionTransitionBuffer: TimeInterval = 0.5
isRefreshing	watchOS	declaration	SingleThreadWatch/WatchReminderViewModel.swift	42	    var isRefreshing = false
isShowingRefreshConfirmation	watchOS	declaration	SingleThreadWatch/WatchReminderViewModel.swift	43	    var isShowingRefreshConfirmation = false
CompletionGlow.isActive	core	declaration	SingleThreadCore/Sources/SingleThreadCore/CompletionGlow.swift	21	    public private(set) var isActive = false
CompletionGlow.isActive	core	write	SingleThreadCore/Sources/SingleThreadCore/CompletionGlow.swift	33	        isActive = true
CompletionGlow.isActive	core	write	SingleThreadCore/Sources/SingleThreadCore/CompletionGlow.swift	39	                self?.isActive = false
CompletionGlow.isActive	ios	read	SingleThread/ContentView.swift	198	            if viewModel.completionGlow.isActive {
CompletionGlow.isActive	watchOS	read	SingleThreadWatch/WatchReminderView.swift	97	            if viewModel.completionGlow.isActive {
CompletionGlow.duration	core	declaration	SingleThreadCore/Sources/SingleThreadCore/CompletionGlow.swift	27	    public var duration: TimeInterval = 0.50
CompletionGlow.duration	watchOS	read	SingleThreadWatch/WatchReminderViewModel.swift	72	            let delay = completionGlow.duration + completionTransitionBuffer
CompletionGlow.duration	ios	seam	SingleThread/AppViewModel.swift	212	            viewModel.completionGlow.duration = 2.0
CompletionGlow.duration	watchOS	seam	SingleThreadWatch/WatchAppViewModel.swift	57	            reminderViewModel.completionGlow.duration = 2.0
isDictating	ios	declaration	SingleThread/DictationViewModel.swift	22	    private(set) var isDictating = false
isDictating	ios	write	SingleThread/DictationViewModel.swift	62	        isDictating = true
isDictating	ios	write	SingleThread/DictationViewModel.swift	87	        isDictating = false
isDictating	ios	read	SingleThread/ContentView.swift	615	            } else if viewModel.dictation.isDictating {
dictationText	ios	declaration	SingleThread/DictationViewModel.swift	23	    var dictationText = ""
dictationText	ios	write	SingleThread/DictationViewModel.swift	63	        dictationText = ""
dictationText	ios	write	SingleThread/DictationViewModel.swift	67	                self?.dictationText = text
dictationText	ios	read	SingleThread/ContentView.swift	617	                    Text(viewModel.dictation.dictationText)
dictationError	ios	declaration	SingleThread/DictationViewModel.swift	24	    var dictationError: String?
dictationError	ios	write	SingleThread/DictationViewModel.swift	64	        dictationError = nil
dictationError	ios	read	SingleThread/ContentView.swift	606	            if let error = viewModel.dictation.dictationError {
creationFeedback	ios	declaration	SingleThread/DictationViewModel.swift	25	    var creationFeedback: CreationFeedback?
creationFeedback	ios	write	SingleThread/DictationViewModel.swift	77	                    creationFeedback = .success
creationFeedback	ios	write	SingleThread/DictationViewModel.swift	79	                    creationFeedback = .failure
creationFeedback	ios	write	SingleThread/DictationViewModel.swift	82	                creationFeedback = nil
